file,Revenue,Net Income,Assets,Liabilities,Equity,Balance Status
44976_ZENITH_BANK_PLC-_QUARTER_2_-_FINANCIAL_STATEMENT_FOR_2025_FINANCIAL_STATEMENTS_SEPTEMBER_2025.txt,2520759.0,945500.0,30992948.0,26424211.0,,N/A
44978_UNITED_BANK_FOR_AFRICA_PLC-_QUARTER_2_-_FINANCIAL_STATEMENT_FOR_2025_FINANCIAL_STATEMENTS_SEPTEMBER_2025.txt,1607969.0,-17059273263.0,-37717291.0,30323354.0,3418639.0,❌ UNBALANCED (189.5%)
44987_FORTIS_GLOBAL_INSURANCE_PLC-_YEAR_END_-_FINANCIAL_STATEMENT_FOR_2022_FINANCIAL_STATEMENTS_SEPTEMBER_2025.txt,,,66403517698336.0,66403517698336.0,3962367.0,✅ BALANCED
44991_STANBIC_IBTC__HOLDINGS_PLC-_QUARTER_2_-_FINANCIAL_STATEMENT_FOR_2025_FINANCIAL_STATEMENTS_SEPTEMBER_2025.txt,4375861095.0,5747257472.0,11577490832.0,71712936241444.0,,N/A
